Start,distance,steps,flights,active_cals,stepgoal
10/23/19,6.767406189,11429.81094,2,648.131,Step Goal Complete!
10/24/19,9.252138868,14022,1,938.494,Step Goal Complete!
10/25/19,5.692298788,9476,1,575.267,Step Goal Fail
10/26/19,1.870742109,3496,0,255.766,Step Goal Fail
10/27/19,4.107710794,7079,2,442.97,Step Goal Fail
10/28/19,4.192944874,7264,1,485.115,Step Goal Fail
10/29/19,8.318283429,12569,1,903.364,Step Goal Complete!
10/30/19,4.29513895,7511,2,517.755,Step Goal Fail
10/31/19,5.178699799,8787,2,537.868,Step Goal Fail
11/1/19,4.344673282,7402,5,488.557,Step Goal Fail
11/2/19,1.524270597,2819.95769,0,276.263,Step Goal Fail
11/3/19,6.462892712,9282,1,783.365,Step Goal Fail
11/4/19,4.041296823,6994,1,476.989,Step Goal Fail
11/5/19,8.498689708,12997,0,916.649,Step Goal Complete!
11/6/19,6.48893049,11130,3,657.347,Step Goal Complete!
11/7/19,5.823128467,9640,3,578.844,Step Goal Fail
11/8/19,4.857361488,8250,2,551.549,Step Goal Fail
11/9/19,2.057734762,3754,0,303.965,Step Goal Fail
11/10/19,3.058718424,5413,1,399.777,Step Goal Fail
11/11/19,5.71044064,9774,2,586.681,Step Goal Fail
11/12/19,4.597504051,7505,3,487.008,Step Goal Fail
11/13/19,5.089956079,8962,3,588.223,Step Goal Fail
11/14/19,6.74795329,10635,3,635.646,Step Goal Complete!
11/15/19,5.448747194,8798,1,534.645,Step Goal Fail
11/16/19,2.214092824,3979,0,321.372,Step Goal Fail
11/17/19,3.330503011,5816,1,434.838,Step Goal Fail
11/18/19,4.314779555,7508,3,517.495,Step Goal Fail
11/19/19,8.477420377,13699,2,968.496,Step Goal Complete!
11/20/19,5.360572941,9045.213353,2,617.497,Step Goal Fail
11/21/19,4.796991172,8178,2,552.378,Step Goal Fail
11/22/19,5.517025007,9550,2,547.538,Step Goal Fail
11/23/19,4.727155166,8408,1,548.114,Step Goal Fail
11/24/19,1.678023299,3004.578467,5,316.943,Step Goal Fail
11/25/19,1.946015635,3482,11,301.361,Step Goal Fail
11/26/19,5.271955884,9284,11,533.555,Step Goal Fail
11/27/19,1.896122903,3961,6,0,Step Goal Fail
11/28/19,8.736948122,16626,65,0,Step Goal Complete!
11/29/19,4.502829959,8536,9,0,Step Goal Fail
11/30/19,0.703401803,1416,4,0,Step Goal Fail
12/1/19,2.03261843,3832,1,0,Step Goal Fail
12/2/19,4.371188115,8329,2,0,Step Goal Fail
12/3/19,1.969927357,3806,5,0,Step Goal Fail
12/4/19,4.099281715,7803,2,0,Step Goal Fail
12/5/19,4.006223299,7568,3,0,Step Goal Fail
12/6/19,3.58436048,6972,2,39.086,Step Goal Fail
12/7/19,1.648118598,2946,0,259.425,Step Goal Fail
12/8/19,2.077483286,3602.190171,2,364.026,Step Goal Fail
12/9/19,5.850112017,9706,2,589.845,Step Goal Fail
12/10/19,9.832274802,15713,4,965.246,Step Goal Complete!
12/11/19,6.936121047,11571,5,699.733,Step Goal Complete!
12/12/19,7.045604855,11709.2487,2,736.1950312,Step Goal Complete!
12/13/19,7.161136065,11334,2,696.4049688,Step Goal Complete!
12/14/19,0.435514065,790,0,131.331,Step Goal Fail
12/15/19,3.679657558,6464,1,421.668,Step Goal Fail
12/16/19,6.374461818,10492,5,641.461,Step Goal Complete!
12/17/19,4.418999566,7424,4,506.125,Step Goal Fail
12/18/19,7.726109369,12729,3.050616528,692.672,Step Goal Complete!
12/19/19,5.323227561,9130,4,568.266,Step Goal Fail
12/20/19,5.544773573,9291.414639,2,551.514,Step Goal Fail
12/21/19,2.151876567,3789,2,296.487,Step Goal Fail
12/22/19,2.331998433,4171.776817,2,337.708,Step Goal Fail
12/23/19,3.02574029,5421,5,476.321,Step Goal Fail
12/24/19,2.315906497,4114,10,257.784,Step Goal Fail
12/25/19,1.656703143,3061.381093,7,169.304,Step Goal Fail
12/26/19,4.765419032,8020,5,566.348,Step Goal Fail
12/27/19,3.971803156,6743,5,471.07,Step Goal Fail
12/28/19,1.291646339,2496,6,228.011,Step Goal Fail
12/29/19,1.751282331,3112,5,296.957,Step Goal Fail
12/30/19,6.729598231,10877,6,674.46,Step Goal Complete!
12/31/19,3.096084849,5485,11,360.624058,Step Goal Fail
1/1/20,2.43449567,4352,6.307151267,390.250942,Step Goal Fail
1/2/20,8.006316334,12806,4,890.227,Step Goal Complete!
1/3/20,7.24793998,12135,2,784.906,Step Goal Complete!
1/4/20,1.737336849,3169,0,271.801,Step Goal Fail
1/5/20,3.472286137,5938,1,457.729,Step Goal Fail
1/6/20,8.218042037,12651,2,897.285,Step Goal Complete!
1/7/20,5.24885567,9114,2,576.699,Step Goal Fail
1/8/20,5.169311255,9193,2,833.135,Step Goal Fail
1/9/20,4.184699861,6957,3,464.621,Step Goal Fail
1/10/20,6.684707578,11637,4,703.831,Step Goal Complete!
1/11/20,1.479759627,2750,0,219.003,Step Goal Fail
1/12/20,1.808917568,3190,1,284.043,Step Goal Fail
1/13/20,9.705100152,15780,2,1001.35,Step Goal Complete!
1/14/20,2.539073651,4498,3,369.343,Step Goal Fail
1/15/20,5.359094363,9194.93979,1,555.763,Step Goal Fail
1/16/20,6.149934364,10447,2,601.287,Step Goal Complete!
1/17/20,3.35390648,5891,2,413.622,Step Goal Fail
1/18/20,1.661266917,3089,0,270.578,Step Goal Fail
1/19/20,8.23187895,13287,1,859.576,Step Goal Complete!
1/20/20,3.362245697,5923,3,422.526,Step Goal Fail
1/21/20,7.575066975,12289,1,833.45,Step Goal Complete!
1/22/20,4.54653323,7837,4,478.223,Step Goal Fail
1/23/20,4.689245007,7819,2,534.464,Step Goal Fail
1/24/20,9.53900889,15401,1,962.552,Step Goal Complete!
1/25/20,2.98926441,5432,2,335.021,Step Goal Fail
1/26/20,0.910365499,1691,0,279.724,Step Goal Fail
1/27/20,4.937734892,8355,1,557.683,Step Goal Fail
1/28/20,8.035920764,13251,2,887.083,Step Goal Complete!
1/29/20,7.100285877,11859.51159,2,646.914,Step Goal Complete!
1/30/20,7.185073537,11576,8,832.064,Step Goal Complete!
