"Year","Sex","Hgt","Wgt","Hand","Haircut","GPA","Exercise","Sport","TV","Award","Pulse","Computer","SocialMedia"
"Sophomore","F",64,150,"right",80,2.7,1,"Yes",5,"Olympic",50,"Mac","Snapchat"
"Sophomore","F",65,150,"right",30,NA,4,"No",4,"Nobel",84,"Mac","Snapchat"
"Sophomore","F",65,130,"left",0,NA,0,"No",20,"Academy",68,"Mac","None"
"Sophomore","M",75,200,"right",7,3.3,5,"No",2,"Nobel",60,"Mac","Twitter"
"FirstYear","F",66,118,"right",55,NA,6,"Yes",6,"Olympic",60,"Mac","Snapchat"
"Sophomore","F",65,190,"right",75,2.5,14,"Yes",28,"Nobel",74,"Mac","Snapchat"
"FirstYear","M",73,175,"right",25,NA,20,"Yes",2,"Olympic",70,"Mac","Twitter"
"Sophomore","F",64,170,"right",15,NA,5,"No",14,"Academy",60,"Mac","Instagram"
"FirstYear","M",66,125,"right",NA,NA,30,"Yes",25,"Olympic",84,"Mac","Instagram"
"FirstYear","F",63,107,"right",NA,NA,10,"Yes",NA,"Olympic",68,"Mac","Snapchat"
"Sophomore","M",72,155,"right",12,3.52,3,"No",6,"Nobel",59,"Mac","Instagram"
"Sophomore","M",74,190,"right",20,3,8,"No",10,"Olympic",48,"Mac","Instagram"
"FirstYear","M",71,165,"right",15,NA,NA,"Yes",12,"Olympic",86,"Mac","Instagram"
"Sophomore","F",65,117,"right",35,3.94,4,"No",5,"Nobel",72,"Mac","Snapchat"
"Sophomore","F",73,167,"right",53,2.47,2,"No",10,"Olympic",77,"Mac","Snapchat"
"Sophomore","F",68,130,"right",100,3.4,NA,"No",8,"Academy",64,"Mac","Instagram"
"FirstYear","M",70,200,"left",35,NA,15,"Yes",7,"Olympic",83,"Mac","Snapchat"
"Sophomore","M",71,185,"right",35,3,7,"Yes",6,"Olympic",70,"Mac","Instagram"
"FirstYear","M",72,170,"right",20,NA,10,"Yes",6,"Olympic",82,"Mac","Instagram"
"FirstYear","M",69,175,"right",13,NA,18,"Yes",10,"Olympic",74,"Mac","Twitter"
"FirstYear","F",66,145,"right",16,NA,5,"No",10,"Olympic",78,"Mac","Snapchat"
"FirstYear","M",71,165,"right",20,NA,12,"Yes",5,"Olympic",59,"Mac","Snapchat"
"Senior","M",70,160,"right",2,3.2,12,"No",5,"Nobel",64,"Mac","Other"
"FirstYear","M",74,155,"right",22,NA,8,"No",2,"Olympic",84,"Mac","Instagram"
"Sophomore","F",67,145,"right",80,3.8,16,"Yes",15,"Olympic",73,"Mac","Instagram"
"Junior","F",67,160,"right",0,3.67,7,"No",10,"Nobel",69,"PC","Snapchat"
"Sophomore","M",69,174,"right",0,3.4,16,"Yes",10,"Olympic",78,"Mac","Instagram"
"Sophomore","M",69,180,"right",35,2.9,10,"No",4,"Nobel",75,"PC","Instagram"
"Sophomore","F",66,130,"right",60,3.4,10,"Yes",2,"Nobel",61,"Mac","Snapchat"
"FirstYear","F",70,135,"right",120,NA,10,"Yes",5,"Academy",92,"Mac","Snapchat"
"Sophomore","F",68,145,"right",60,3.64,6,"No",6,"Academy",61,"Mac","Instagram"
"Sophomore","F",62,134,"right",35,3.7,9,"No",7,"Olympic",52,"Mac","Instagram"
"Sophomore","F",70,160,"right",70,3.3,10,"Yes",7,"Olympic",67,"Mac","Snapchat"
"Sophomore","F",66,145,"right",300,3.7,10,"Yes",2,"Olympic",65,"Mac","Instagram"
"Sophomore","F",66,145,"right",300,3.7,10,"Yes",2,"Olympic",65,"Mac","Instagram"
"Sophomore","M",67,150,"right",5,3,2,"No",10,"Nobel",82,"PC","Other"
"FirstYear","M",75,210,"right",22,NA,15,"Yes",10,"Olympic",56,"Mac","Instagram"
"Sophomore","F",62,135,"right",165,3.2,5,"Yes",6,"Olympic",68,"Mac","Snapchat"
"Sophomore","M",71,225,"right",33,2.3,3,"No",14,"Nobel",61,"Mac","Instagram"
"Sophomore","M",70,136,"right",105,3.5,5,"No",8,"Nobel",55,"PC","Other"
